query_group,query,video_id,channel_id,channel_name,title,views,published_text,age_days,duration_seconds,url
everyday_history,inside New York tenement 1900 history documentary,QFMTA57DGvs,UCkoKI2T_WmQNVWQFCbjFGJQ,History Reconstruction,What It Was Like Living in a House in New York in 1900 | AI Reconstruction,167207,2 months ago,60,1065,https://www.youtube.com/watch?v=QFMTA57DGvs
everyday_history,inside New York tenement 1900 history documentary,Z2A-Dxxa5OE,UClPiJsU5P4Kv2nY-Ymhb6ow,The Last Wall,The Dark Side of Old New York Life Inside a 1900 Tenement  | AI Reconstruction,68,1 month ago,30,1631,https://www.youtube.com/watch?v=Z2A-Dxxa5OE
everyday_history,inside New York tenement 1900 history documentary,Hyg2QAoRJFU,UCJ9_ohRJrR6oV3JBPl1nANA,The Reconstructed History,The Story Of IMMIGRANTS In NEW YORK City In 1900 | AI Reconstruction,2579,1 month ago,30,1001,https://www.youtube.com/watch?v=Hyg2QAoRJFU
everyday_history,inside New York tenement 1900 history documentary,7p3Kyl1_YLQ,UC3ukQpmidqI7l08lwcxKxtQ,History by Marcus,"New York City 1900 AI Reconstruction (Crime, Gangs, Tenements)",116,7 months ago,210,306,https://www.youtube.com/watch?v=7p3Kyl1_YLQ
everyday_history,inside New York tenement 1900 history documentary,wjpzidf_Wo0,UC2HgWjXT9OjQfnB-r2_tE6w,Night Historian,A Typical Day in an Early 1900s City Tenement Home | Boring History For Sleep,431,7 months ago,210,9791,https://www.youtube.com/watch?v=wjpzidf_Wo0
everyday_history,inside New York tenement 1900 history documentary,z43C7QxHiEo,UCcnv9lZd59H8Q-i2qf542yA,Antiquity Studios,This Is How People Lived in New York in 1900 | AI Reconstruction,180,1 month ago,30,754,https://www.youtube.com/watch?v=z43C7QxHiEo
everyday_history,inside New York tenement 1900 history documentary,8VfjEg8NFbU,UCjVdnZlSsBrjIXR4v9GT4BA,Boring Sleep History,"🏙️🪟🕯️ Ten People, One Room — The Reality of Life in a 1900s New York Tenement 📜😴 | History for Sleep",323,1 month ago,30,10925,https://www.youtube.com/watch?v=8VfjEg8NFbU
everyday_history,inside New York tenement 1900 history documentary,KF6ezLjXWuc,UCkl_bjtocV9ln1CL8WrP3cg,Memories Reanimated,The Immigrant Nightmare: Life in New York's Slum Tenements (1910),152,5 months ago,150,802,https://www.youtube.com/watch?v=KF6ezLjXWuc
everyday_history,inside New York tenement 1900 history documentary,af9NVYpLeRU,UCD59amIOqi5PTj1RYDEMdkg,Before It Was Normal,A Day in the Life of a 1897 New York Tenement,57,13 days ago,13,3549,https://www.youtube.com/watch?v=af9NVYpLeRU
everyday_history,inside New York tenement 1900 history documentary,bumpVvYYQa8,UCBFR3dJDteyhAwSf5bXUsIQ,History Reconstructed,Inside the Most Crowded Place on Earth — New York 1900(AI Reconstruction),119,3 months ago,90,2006,https://www.youtube.com/watch?v=bumpVvYYQa8
everyday_history,inside New York tenement 1900 history documentary,2x-lMWGqYNY,UCkl_bjtocV9ln1CL8WrP3cg,Memories Reanimated,"12 People, 1 Room: How Poor Families Survived NY Tenements (1900)",138,5 months ago,150,830,https://www.youtube.com/watch?v=2x-lMWGqYNY
everyday_history,inside New York tenement 1900 history documentary,GURQFynav-g,UCDSYSCtiYxueBXviqhAQciA,Forgotten Ways Of America,25 Forgotten Survival Secrets of New York Tenement Mothers (1900s),79,2 months ago,60,1866,https://www.youtube.com/watch?v=GURQFynav-g
everyday_history,inside New York tenement 1900 history documentary,H0mbf-2ggd4,UCOshdvY8PLxe1i2HHZ1I72w,History For Lunatics by Daniel,What a Poor Family's Home Actually Looked Like in 1900s New York | History For Sleep,192,3 months ago,90,11005,https://www.youtube.com/watch?v=H0mbf-2ggd4
everyday_history,inside New York tenement 1900 history documentary,fP6NmlXldhk,UCYAm24PkejQR2xMgJgn7xwg,Stewart Hicks,How New York Got Its Fire Escapes,350255,3 months ago,90,718,https://www.youtube.com/watch?v=fP6NmlXldhk
