channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UC7R28A21ABhLnvY9bRed8MQ,Nature's Moments,wildlife_documentaries,10,10,1714076,657538,https://www.youtube.com/channel/UC7R28A21ABhLnvY9bRed8MQ/videos
UCHJuQZuzapBh-CuhRYxIZrg,Insider,economic_explainers,1,1,1664279,1664279,https://www.youtube.com/channel/UCHJuQZuzapBh-CuhRYxIZrg/videos
UCAcoda6jlC-xpxGhwW7yFZw,Matt Reconstructs History,history_reconstruction,2,2,1664184,1276332,https://www.youtube.com/channel/UCAcoda6jlC-xpxGhwW7yFZw/videos
UCnM1bIVGUXUIgj-8pqtw1dw,Cine Recaps BD,economic_explainers,1,1,1663140,1663140,https://www.youtube.com/channel/UCnM1bIVGUXUIgj-8pqtw1dw/videos
UC1KmNKYC1l0stjctkGswl6g,After Skool,speculative_scifi,1,1,1622605,1622605,https://www.youtube.com/channel/UC1KmNKYC1l0stjctkGswl6g/videos
UCSoRPhBTtQ4ntgOj4RA_XqA,TRUE GLOBE,wildlife_documentaries,2,2,1583445,1266407,https://www.youtube.com/channel/UCSoRPhBTtQ4ntgOj4RA_XqA/videos
UCqW-PuTMM73Ff6qR8k-8HGg,Darkest Horrors,internet_mysteries,2,2,1554394,929208,https://www.youtube.com/channel/UCqW-PuTMM73Ff6qR8k-8HGg/videos
UCQoPrZpOtAqLL1tFEey-Xzw,WILD Xfact,wildlife_documentaries,2,2,1515668,1361488,https://www.youtube.com/channel/UCQoPrZpOtAqLL1tFEey-Xzw/videos
UCr-BYW60bAtDcNtz6AoiHZQ,SR PAY,internet_mysteries,1,1,1508851,1508851,https://www.youtube.com/channel/UCr-BYW60bAtDcNtz6AoiHZQ/videos
UCWbM5p20UDzs1VLGa9ku2Jw,Myths-creature,wildlife_documentaries,1,1,1502852,1502852,https://www.youtube.com/channel/UCWbM5p20UDzs1VLGa9ku2Jw/videos
UCRxL0nf9H3ZL-CeI8wGmPHQ,Discover Wildlife,wildlife_documentaries,14,14,1446347,172361,https://www.youtube.com/channel/UCRxL0nf9H3ZL-CeI8wGmPHQ/videos
UCoJk14THeWd-KSMpXGtgRXQ,RICHARD TOMSON,speculative_scifi,1,1,1407162,1407162,https://www.youtube.com/channel/UCoJk14THeWd-KSMpXGtgRXQ/videos
UCj4qrWgL8bmAfBTr6EwThow,Survival Alex,wildlife_documentaries,3,3,1373752,221386,https://www.youtube.com/channel/UCj4qrWgL8bmAfBTr6EwThow/videos
UCqOoboPm3uhY_YXhvhmL-WA,Discovery,wildlife_documentaries,1,1,1354235,1354235,https://www.youtube.com/channel/UCqOoboPm3uhY_YXhvhmL-WA/videos
UCkf4ZhyckqAgr_bf-PPS7jA,Wild Animals - Animal Documentary,wildlife_documentaries,3,3,1338672,924929,https://www.youtube.com/channel/UCkf4ZhyckqAgr_bf-PPS7jA/videos
UC65IEk6PTfRZzyvrcYypHQg,Parallel Pipes,internet_mysteries,2,2,1334080,935437,https://www.youtube.com/channel/UC65IEk6PTfRZzyvrcYypHQg/videos
UCc7h-w42GLvShOJp9mLEnfQ,Bixu,wildlife_documentaries,1,1,1326967,1326967,https://www.youtube.com/channel/UCc7h-w42GLvShOJp9mLEnfQ/videos
UCrA4IQGWeWzPT6i2SbVeAUw,Another Universe,speculative_scifi,1,0,1325838,1325838,https://www.youtube.com/channel/UCrA4IQGWeWzPT6i2SbVeAUw/videos
UCbrSe4uBIeqJweOYnJAOsrw,EverythingProfessor,economic_explainers,1,1,1323912,1323912,https://www.youtube.com/channel/UCbrSe4uBIeqJweOYnJAOsrw/videos
UCVOKP-_OYHTnKFDSP89NfAQ,Mavora,wildlife_documentaries,7,7,1258191,279629,https://www.youtube.com/channel/UCVOKP-_OYHTnKFDSP89NfAQ/videos
