channel_id,channel_name,query_groups,joined_date,subscribers,video_count,max_search_views,extracted_videos,extracted_long_videos,median_latest_10,median_latest_20,max_latest_20,latest_20_over_10k,latest_20_over_50k,latest_20_over_100k,latest_20_over_1m,latest_20_zero_or_missing,views_to_subs_median_10,country,canonical_url,videos_status
UCe8G9fApuCUh7dQr95UWhag,New Travel Insight,nature_animals,2025-02-22,177000,384,3464347,30,30,25500,62000,529000,15,11,8,0,0,0.1441,United States,http://www.youtube.com/@NewTravelInsight,ok
UCmAwGVLrHRw4FUmnJmsrGNg,TinyTickles™ Fun Facts,science_engineering,2025-02-20,2330,89,622927,30,8,833,833,622000,2,1,1,0,0,0.3575,Singapore,http://www.youtube.com/@TinyTicklesFunFacts,ok
UCFkWwLHM-uqjccOv6oCv14g,The Secret,practical_lifestyle,2025-02-20,398000,2402,333922,30,30,678,885,4000,0,0,0,0,0,0.0017,United States,http://www.youtube.com/@TheSecret-c1f,ok
UCDy5K4UNhE3l9-3mu9V-d3A,How People Make Money,business_economics|work_career_education,2025-02-17,129000,45,350319,30,28,30500,33000,607000,19,8,5,0,0,0.2364,,http://www.youtube.com/@how-people-make-money,ok
UCPlUfxXfP-Cgg4_qM-y8ivA,Silence of the Earth,nature_animals,2025-02-10,59400,76,2633971,30,30,10200,31000,2600000,15,7,6,1,0,0.1717,United States,http://www.youtube.com/@SilenceoftheEarth,ok
UCGBqkakG1XpPyrY1deesPBw,The Flo Factory,speculative_scifi,2025-02-08,13400,11,357310,8,3,361000,361000,1100000,3,3,3,1,0,26.9403,,http://www.youtube.com/@theflofactory,ok
UCc8mgmxzl_Yhf9PlvElZ68w,Marissa Van,work_career_education,2025-01-29,44200,58,87578,30,30,62500,69000,399000,20,13,7,0,0,1.414,United States,http://www.youtube.com/@Marissa-Van,ok
UC1zbeu02sJejIYi8h3mK2Gg,Echo of the Forests,nature_animals,2025-01-23,6160,143,77739,30,30,2200,2700,14000,2,0,0,0,0,0.3571,United States,http://www.youtube.com/@EchooftheForests,ok
UCXP27gIOM6MeHbTYrHrEF6w,Rail Tech Info,everyday_history,2025-01-18,11600,97,54533,30,24,58000,54000,228000,20,11,5,0,0,5.0,India,http://www.youtube.com/@Railtechiinfo,ok
UCH1d5pCwEvmumwwbd4QkL6A,Mountain Lifeaholic,nature_animals,2025-01-15,45800,89,3517322,30,30,33500,27000,507000,14,8,5,0,0,0.7314,United States,http://www.youtube.com/@MountainLifeaholic,ok
UCB2VZlL3LBwe2p3r0f9QY5g,hollnes,wildlife_documentaries,2025-01-11,71700,18,129518,16,16,97500,290500,3600000,13,13,11,5,0,1.3598,United States,http://www.youtube.com/@hollnes17,ok
UCq_e7utqXqmxS2nmeLNWoew,Extreme Survival Stories,nature_animals,2025-01-04,27400,88,52542,30,30,4150,2900,38000,5,0,0,0,0,0.1515,Poland,http://www.youtube.com/@ExtremeSurvivalStories,ok
UCcSC_VPnipXJeqPUc2oZtrw,Relax History AI,history_reconstruction,2025-01-03,116000,354,166708,30,30,1900,1900,42000,2,0,0,0,0,0.0164,United States,http://www.youtube.com/@RelaxHistoryAI,ok
UC3yFifJYlb7LHk02tw36l0A,Fragments of History,history_civilization,2025-01-02,17900,167,51739,30,30,1350,2000,14000,1,0,0,0,0,0.0754,United States,http://www.youtube.com/@FragmentsofHistory01,ok
UCbrSe4uBIeqJweOYnJAOsrw,EverythingProfessor,practical_lifestyle,2025-01-01,616000,83,5197199,30,30,51500,69000,661000,19,12,6,0,0,0.0836,,http://www.youtube.com/@EverythingProfessor,ok
UCZjVE44LOvxPyKA-tymFoyQ,Martik Finance,business_economics,2025-01-01,97000,46,469452,30,29,13000,19000,469000,14,7,4,0,0,0.134,,http://www.youtube.com/@MartikFinance,ok
